CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000004433403RW1P;01/05/2021;1;0,165;R
ES0022000004433403RW1P;01/05/2021;2;0,108;R
ES0022000004433403RW1P;01/05/2021;3;0,109;R
ES0022000004433403RW1P;01/05/2021;4;0,085;R
ES0022000004433403RW1P;01/05/2021;5;0,115;R
ES0022000004433403RW1P;01/05/2021;6;0,086;R
ES0022000004433403RW1P;01/05/2021;7;0,107;R
ES0022000004433403RW1P;01/05/2021;8;0,090;R
ES0022000004433403RW1P;01/05/2021;9;0,105;R
ES0022000004433403RW1P;01/05/2021;10;0,148;R
ES0022000004433403RW1P;01/05/2021;11;0,367;R
ES0022000004433403RW1P;01/05/2021;12;1,741;R
ES0022000004433403RW1P;01/05/2021;13;1,562;R
ES0022000004433403RW1P;01/05/2021;14;1,476;R
ES0022000004433403RW1P;01/05/2021;15;0,790;R
ES0022000004433403RW1P;01/05/2021;16;0,386;R
ES0022000004433403RW1P;01/05/2021;17;0,354;R
ES0022000004433403RW1P;01/05/2021;18;0,370;R
ES0022000004433403RW1P;01/05/2021;19;0,294;R
ES0022000004433403RW1P;01/05/2021;20;0,396;R
ES0022000004433403RW1P;01/05/2021;21;0,957;R
ES0022000004433403RW1P;01/05/2021;22;0,529;R
ES0022000004433403RW1P;01/05/2021;23;0,424;R
ES0022000004433403RW1P;01/05/2021;24;0,270;R
ES0022000004433403RW1P;02/05/2021;1;0,249;R
ES0022000004433403RW1P;02/05/2021;2;0,288;R
ES0022000004433403RW1P;02/05/2021;3;0,114;R
ES0022000004433403RW1P;02/05/2021;4;0,115;R
ES0022000004433403RW1P;02/05/2021;5;0,099;R
ES0022000004433403RW1P;02/05/2021;6;0,089;R
ES0022000004433403RW1P;02/05/2021;7;0,107;R
ES0022000004433403RW1P;02/05/2021;8;0,105;R
ES0022000004433403RW1P;02/05/2021;9;0,096;R
ES0022000004433403RW1P;02/05/2021;10;0,112;R
ES0022000004433403RW1P;02/05/2021;11;0,184;R
ES0022000004433403RW1P;02/05/2021;12;0,409;R
ES0022000004433403RW1P;02/05/2021;13;1,726;R
ES0022000004433403RW1P;02/05/2021;14;2,140;R
ES0022000004433403RW1P;02/05/2021;15;0,890;R
ES0022000004433403RW1P;02/05/2021;16;0,368;R
